#Parameters = {C_p=3e-13; C_p_add=7e-14; L_s=7e-10; R_s=4.8}
#"Frequency / GHz"	"Bump [Magnitude]"
#------------------------------------
6.0000000000000	127.46315064054
6.0080160320641	128.21108355182
6.0160320641283	128.97000739635
6.0240480961924	129.76252003993
6.0320641282565	130.51191448233
6.0400801603206	131.29712045000
6.0480961923848	132.09254248557
6.0561122244489	132.87944681915
6.0641282565130	133.66651488527
6.0721442885772	134.45763106279
6.0801603206413	135.29214617264
6.0881763527054	136.07370540437
6.0961923847695	136.89776762026
6.1042084168337	137.73418005307
6.1122244488978	138.54344293973
6.1202404809619	139.37260533121
6.1282565130261	140.23750755493
6.1362725450902	141.05451267180
6.1442885771543	141.90969529175
6.1523046092184	142.78074669348
6.1603206412826	143.62460367321
6.1683366733467	144.48434960051
6.1763527054108	145.38602027299
6.1843687374749	146.23379944943
6.1923847695391	147.12652962976
6.2004008016032	148.02699315309
6.2084168336673	148.92110304079
6.2164328657315	149.81094205441
6.2244488977956	150.71123723014
6.2324649298597	151.65331999167
6.2404809619238	152.54241627675
6.2484969939880	153.47208358330
6.2565130260521	154.42243767542
6.2645290581162	155.33744429233
6.2725450901804	156.27584554597
6.2805611222445	157.25418125016
6.2885771543086	158.17751952786
6.2965931863727	159.14775007400
6.3046092184369	160.12423936739
6.3126252505010	161.09761897076
6.3206412825651	162.06308944867
6.3286573146293	163.04107911615
6.3366733466934	164.06286062992
6.3446893787575	165.02846856978
6.3527054108216	166.03666759035
6.3607214428858	167.06745598837
6.3687374749499	168.05921061961
6.3767535070140	169.07934542370
6.3847695390782	170.13492006371
6.3927855711423	171.14121605938
6.4008016032064	172.18364363649
6.4088176352705	173.25504978472
6.4168336673347	174.28197749777
6.4248496993988	175.33853769545
6.4328657314629	176.43592764810
6.4408817635271	177.47577796394
6.4488977955912	178.56070823931
6.4569138276553	179.66207647072
6.4649298597194	180.74919937088
6.4729458917836	181.83643759850
6.4809619238477	182.92678728651
6.4889779559118	184.07749556050
6.4969939879760	185.15485579100
6.5050100200401	186.28920601041
6.5130260521042	187.43701483769
6.5210420841683	188.55456475571
6.5290581162325	189.68656663701
6.5370741482966	190.87853646829
6.5450901803607	191.99042290674
6.5531062124248	193.17177578636
6.5611222444890	194.34598425655
6.5691382765531	195.53340265996
6.5771543086172	196.68662475941
6.5851703406814	197.88625078618
6.5931863727455	199.08422434423
6.6012024048096	200.27225456441
6.6092184368737	201.51672915064
6.6172344689379	202.71671159690
6.6252505010020	203.93824760740
6.6332665330661	205.14311237927
6.6412825651303	206.43435719757
6.6492985971944	207.62181045310
6.6573146292585	208.89742216401
6.6653306613226	210.15525761841
6.6733466933868	211.43452771821
6.6813627254509	212.66900161015
6.6893787575150	213.96085538150
6.6973947895792	215.24207427585
6.7054108216433	216.52155733513
6.7134268537074	217.85015638995
6.7214428857715	219.14196774415
6.7294589178357	220.44495733168
6.7374749498998	221.74216661485
6.7454909819639	223.11733164950
6.7535070140281	224.39731229120
6.7615230460922	225.74870693964
6.7695390781563	227.11338020408
6.7775551102204	228.44183109573
6.7855711422846	229.78410863095
6.7935871743487	231.19820875505
6.8016032064128	232.51473786552
6.8096192384770	233.91114660198
6.8176352705411	235.30126998867
6.8256513026052	236.70238168237
6.8336673346693	238.06342571480
6.8416833667335	239.47583705893
6.8496993987976	240.88600070711
6.8577154308617	242.28119586745
6.8657314629259	243.74352781343
6.8737474949900	245.14897219837
6.8817635270541	246.58057074765
6.8897795591182	247.98705258129
6.8977955911824	249.49810658200
6.9058116232465	250.87920417128
6.9138276553106	252.36646800766
6.9218436873747	253.82676686554
6.9298597194389	255.31380193588
6.9378757515030	256.74188967932
