#Parameters = {C_p=3e-13; C_p_add=7e-14; L_s=7e-10; R_s=4.8}
#"Frequency / GHz"	"Total RCS [pw]_(C_p=1.08e-12) [Magnitude]"
#-------------------------------------------------------------
6.0000000000000	54.246085461437
6.0080160320641	54.662935698563
6.0160320641283	55.045417552435
6.0240480961924	55.403503268927
6.0320641282565	55.741054579864
6.0400801603206	56.127988640597
6.0480961923848	56.558214266990
6.0561122244489	56.985062369370
6.0641282565130	57.375370154889
6.0721442885772	57.731060507017
6.0801603206413	58.104380181110
6.0881763527054	58.488533627945
6.0961923847695	58.924247577034
6.1042084168337	59.365381884037
6.1122244488978	59.761006146670
6.1202404809619	60.128476673060
6.1282565130261	60.512954206399
6.1362725450902	60.907277463408
6.1442885771543	61.350200149824
6.1523046092184	61.798718174676
6.1603206412826	62.202503475056
6.1683366733467	62.579215802328
6.1763527054108	62.975964991978
6.1843687374749	63.378565918429
6.1923847695391	63.830965205964
6.2004008016032	64.282620366957
6.2084168336673	64.702397794818
6.2164328657315	65.086825601808
6.2244488977956	65.478726613147
6.2324649298597	65.916222102894
6.2404809619238	66.360819782865
6.2484969939880	66.817007533534
6.2565130260521	67.253592331560
6.2645290581162	67.645217680790
6.2725450901804	68.049165414175
6.2805611222445	68.497733705821
6.2885771543086	68.949185386801
6.2965931863727	69.415944727503
6.3046092184369	69.858728543488
6.3126252505010	70.271168809656
6.3206412825651	70.684044788727
6.3286573146293	71.127994449624
6.3366733466934	71.617017903941
6.3446893787575	72.077368989580
6.3527054108216	72.528309552483
6.3607214428858	72.965106371067
6.3687374749499	73.387249549847
6.3767535070140	73.848412863129
6.3847695390782	74.349037353963
6.3927855711423	74.824121460095
6.4008016032064	75.289165786165
6.4088176352705	75.744117771519
6.4168336673347	76.183861676937
6.4248496993988	76.662754198101
6.4328657314629	77.181332122713
6.4408817635271	77.673171187102
6.4488977955912	78.159698103906
6.4569138276553	78.633550873448
6.4649298597194	79.105383517799
6.4729458917836	79.604453715133
6.4809619238477	80.126583130331
6.4889779559118	80.673948549695
6.4969939879760	81.166412467950
6.5050100200401	81.666238005323
6.5130260521042	82.177581981617
6.5210420841683	82.703258681603
6.5290581162325	83.256991170679
6.5370741482966	83.837897276306
6.5450901803607	84.362812672834
6.5531062124248	84.903995977511
6.5611222444890	85.448730350618
6.5691382765531	86.027985726395
6.5771543086172	86.615125382478
6.5851703406814	87.225604591048
6.5931863727455	87.817364475234
6.6012024048096	88.394199843183
6.6092184368737	89.004283123254
6.6172344689379	89.626379461812
6.6252505010020	90.281689511981
6.6332665330661	90.936473881139
6.6412825651303	91.615060483030
6.6492985971944	92.241707807370
6.6573146292585	92.919037710537
6.6653306613226	93.622473098157
6.6733466933868	94.363903463150
6.6813627254509	95.096156851210
6.6893787575150	95.845514670921
6.6973947895792	96.588973037106
6.7054108216433	97.349576538751
6.7134268537074	98.171107969748
6.7214428857715	99.009905332564
6.7294589178357	99.872049555160
6.7374749498998	100.73120463282
6.7454909819639	101.63307056072
6.7535070140281	102.51866343966
6.7615230460922	103.48246773242
6.7695390781563	104.49794844022
6.7775551102204	105.52495067223
6.7855711422846	106.57280285432
6.7935871743487	107.67318517949
6.8016032064128	108.76936101734
6.8096192384770	109.96332181798
6.8176352705411	111.21659171326
6.8256513026052	112.52266750767
6.8336673346693	113.84580602200
6.8416833667335	115.23349976692
6.8496993987976	116.68586794815
6.8577154308617	118.21512300529
6.8657314629259	119.86946511413
6.8737474949900	121.57409241389
6.8817635270541	123.36401339410
6.8897795591182	125.21579433641
6.8977955911824	127.22390670262
6.9058116232465	129.28818114291
6.9138276553106	131.54341349698
6.9218436873747	133.90744916096
6.9298597194389	136.40524076237
6.9378757515030	138.98641673950
6.9458917835671	141.74386383373
6.9539078156313	144.63892084995
6.9619238476954	147.68654027013
6.9699398797595	150.88231952173
6.9779559118236	154.13861390886
6.9859719438878	157.42853031682
6.9939879759519	160.70033764457
7.0020040080160	163.92791834596
7.0100200400802	166.88596250083
7.0180360721443	169.51572198341
7.0260521042084	171.58337163621
7.0340681362725	172.80148300380
7.0420841683367	172.98824661965
7.0501002004008	171.96361643721
7.0581162324649	169.46379609789
7.0661322645291	165.55478026956
7.0741482965932	160.25892190460
7.0821643286573	153.79840331629
7.0901803607214	146.48573735053
7.0981963927856	138.78045702020
7.1062124248497	131.05497498441
7.1142284569138	123.64546956460
7.1222444889780	116.83970716776
7.1302605210421	110.72684808541
7.1382765531062	105.40332799954
7.1462925851703	100.84390948190
7.1543086172345	97.052925242118
7.1623246492986	93.874963362725
7.1703406813627	91.322698308344
7.1783567134269	89.273169468544
7.1863727454910	87.666019083159
7.1943887775551	86.400345402063
7.2024048096192	85.452985204391
7.2104208416834	84.743544381162
7.2184368737475	84.238564000271
7.2264529058116	83.925866661197
7.2344689378758	83.748357960508
7.2424849699399	83.687365591648
7.2505010020040	83.718922612690
7.2585170340681	83.829623432891
7.2665330661323	83.978425970579
7.2745490981964	84.218971515181
7.2825651302605	84.470501242996
7.2905811623246	84.795202915346
7.2985971943888	85.102160977888
7.3066132264529	85.455700258449
7.3146292585170	85.799562102619
7.3226452905812	86.168866602379
7.3306613226453	86.561954186732
7.3386773547094	86.963684437092
7.3466933867735	87.352999445568
7.3547094188377	87.747720311114
7.3627254509018	88.136477093915
7.3707414829659	88.518268911579
7.3787575150301	88.932609687199
7.3867735470942	89.327441224065
7.3947895791583	89.724820026926
7.4028056112224	90.094830590747
7.4108216432866	90.490781352561
7.4188376753507	90.834665621871
7.4268537074148	91.221753965468
