iter	RMSE
321	12.93343631
322	12.89957637
323	12.89272209
324	12.87286333
325	12.86402483
326	12.8413965
327	12.80960881
328	12.79545143
329	12.78148093
330	12.7667077
331	12.75574477
332	12.74008543
333	12.71813671
334	12.71501267
335	12.70960091
336	12.69944018
337	12.67332498
338	12.66085512
339	12.64340291
340	12.62617485
341	12.59815499
342	12.58264188
343	12.54488059
344	12.54020949
345	12.49361142
346	12.48197432
347	12.47279082
348	12.43840572
349	12.41745573
350	12.40256527
351	12.39571702
352	12.37820561
353	12.34800625
354	12.33846778
355	12.31382079
356	12.30448482
357	12.28416869
358	12.27315455
359	12.26938098
360	12.2448648
361	12.24130124
362	12.21834245
363	12.21574997
364	12.20246013
365	12.19882251
366	12.19540577
367	12.18748553
368	12.16786395
369	12.15796211
370	12.13131362
371	12.11142442
372	12.09298354
373	12.07180191
374	12.0565855
375	12.03736637
376	12.01648324
377	12.01348373
378	11.98874265
379	11.96865474
380	11.96314335
381	11.93979365
382	11.93165552
383	11.91167878
384	11.90376372
385	11.89174106
386	11.88937515
387	11.85485644
388	11.83914191
389	11.82730053
390	11.8148873
391	11.78859327
392	11.78275978
393	11.77564441
394	11.74727796
395	11.73727771
396	11.73081573
397	11.72617008
398	11.70821985
399	11.68880844
400	11.67136511
401	11.66498612
402	11.66068493
403	11.6476002
404	11.62550751
405	11.61384271
406	11.59569633
407	11.56946517
408	11.55046939
409	11.53347044
410	11.52984566
411	11.51693892
412	11.50841397
413	11.49030715
414	11.47505886
415	11.47207595
416	11.46294626
417	11.44138732
418	11.42275455
419	11.40803215
420	11.39599523
421	11.38498741
422	11.38151689
423	11.37251297
424	11.35614334
425	11.35012788
426	11.3297612
427	11.30989133
428	11.28576655
429	11.28329319
430	11.27668291
431	11.25697751
432	11.22834063
433	11.21948399
434	11.20485525
435	11.20255957
436	11.20034706
437	11.17704637
438	11.16993211
439	11.16709029
440	11.15592735
441	11.15141592
442	11.13066179
443	11.12554544
444	11.11845595
445	11.11002923
446	11.1038914
447	11.08498177
448	11.05781864
449	11.05553146
450	11.04890074
451	11.03644508
452	11.03301434
453	11.01836798
454	11.00590692
455	10.98273904
456	10.97455324
457	10.96574957
458	10.95646019
459	10.93963656
460	10.93514315
461	10.92753156
462	10.90617082
463	10.90389919
464	10.89413595
465	10.88349616
466	10.87619599
467	10.8728446
468	10.86125667
469	10.83776087
470	10.83569
471	10.8191899
472	10.81600633
473	10.80256319
474	10.79068824
475	10.78900007
476	10.7808666
477	10.76075912
478	10.75466852
479	10.74008727
480	10.72310955
481	10.71407415
482	10.70926466
483	10.68474987
484	10.68024625
485	10.66606773
486	10.6519576
487	10.63841185
488	10.63531323
489	10.62356827
490	10.60001044
491	10.5980678
492	10.59443906
493	10.58334536
494	10.57888398
495	10.57684681
496	10.56599956
497	10.56193102
498	10.55883021
499	10.55046232
500	10.54787703
501	10.54392007
502	10.54197759
503	10.52641891
504	10.51757747
505	10.5001016
506	10.49479873
507	10.48562603
508	10.47125796
509	10.45062255
510	10.4486292
511	10.44627501
512	10.43546203
513	10.42716455
514	10.42004657
515	10.41387321
516	10.41155828
517	10.40363878
518	10.39933117
519	10.38984809
520	10.38324265
521	10.37663868
522	10.35170954
523	10.34809991
524	10.32526374
525	10.3219257
526	10.30959622
527	10.30099079
528	10.29309227
529	10.27364411
530	10.25505888
531	10.24148729
532	10.22912252
533	10.21865108
534	10.21704888
535	10.21385998
536	10.21201759
537	10.1931221
538	10.17716998
539	10.1593997
540	10.14580992
541	10.13261649
542	10.12388102
543	10.10650968
544	10.09636366
545	10.07970632
546	10.07458411
547	10.06031781
548	10.05728494
549	10.03869849
550	10.02393043
551	10.01424543
552	10.01278254
553	9.998744527
554	9.98597209
555	9.971257236
556	9.955640131
557	9.941166039
558	9.925693315
559	9.917569536
560	9.908913951
561	9.897420023
562	9.878256156
563	9.870611203
564	9.864169146
565	9.862796918
566	9.847268469
567	9.841488683
568	9.805624085
569	9.799350816
570	9.791881165
571	9.78719655
572	9.7797327
573	9.774852862
574	9.770249921
575	9.761589895
576	9.752947138
577	9.747269201
578	9.735736717
579	9.731587862
580	9.719984034
581	9.717333016
582	9.712015519
583	9.700376111
584	9.693907286
585	9.692324126
586	9.684584571
587	9.670021694
588	9.658015888
589	9.649990087
590	9.648410042
591	9.645454884
592	9.64034258
593	9.633416164
594	9.623796111
595	9.603131596
596	9.596062257
597	9.581744737
598	9.580108395
599	9.568991888
600	9.557120029
601	9.54978299
602	9.539070738
603	9.533820927
604	9.522160068
605	9.508005498
606	9.492539264
607	9.490647784
608	9.476013372
609	9.461815103
610	9.448216544
611	9.43668713
612	9.431771355
613	9.421975169
614	9.413489562
615	9.4089215
616	9.402059167
617	9.387463441
618	9.378272212
619	9.372022583
620	9.362048457
621	9.350648261
622	9.347955626
623	9.337862981
624	9.332933485
625	9.320199482
626	9.306796218
627	9.294240284
628	9.288273208
629	9.276256374
630	9.274484617
631	9.272980186
632	9.263876017
633	9.257111734
634	9.24889356
635	9.239565684
636	9.230023408
637	9.228609638
638	9.217010387
639	9.205446599
640	9.202879393
641	9.187846441
642	9.184957517
643	9.174987445
644	9.171437837
645	9.164097864
646	9.16174812
647	9.156817254
648	9.155435282
649	9.141840476
650	9.125407748
651	9.121303937
652	9.117002898
653	9.110874002
654	9.10308088
655	9.093977354
656	9.088444881
657	9.075770541
658	9.062126629
659	9.051708771
660	9.048807359
661	9.045737043
662	9.033952798
663	9.025522849
664	9.022035025
665	9.01991159
666	9.007532652
667	8.999332858
668	8.997170863
669	8.988484858
670	8.972334803
671	8.970583187
672	8.963192708
673	8.948985254
674	8.947797053
675	8.942386124
676	8.928311615
677	8.915314899
678	8.906428983
679	8.893565333
680	8.886221612
681	8.881931718
682	8.87644283
683	8.867647721
684	8.863467423
685	8.861279771
686	8.860284183
687	8.858676523
688	8.855361623
689	8.841460175
690	8.834327378
691	8.833472792
692	8.826367384
693	8.822986424
694	8.818157219
695	8.811200188
696	8.802990959
697	8.796200964
698	8.794475912
699	8.792802112
700	8.779932024
701	8.771952521
702	8.764787562
703	8.757042318
704	8.746410343
705	8.745108166
706	8.744250343
707	8.741926546
708	8.734816758
709	8.730972885
710	8.721349025
711	8.718514914
712	8.715737005
713	8.712713554
714	8.701964272
715	8.698078321
716	8.692937483
717	8.68403976
718	8.672431687
719	8.670971238
720	8.662905845
721	8.659357571
722	8.649412699
723	8.639689025
724	8.631970815
725	8.63108722
726	8.626283547
727	8.619738572
728	8.61177123
729	8.604470747
730	8.592382202
731	8.587221465
732	8.585999952
733	8.583410748
734	8.576960334
735	8.568561984
736	8.567038197
737	8.564836836
738	8.558400001
739	8.550431145
740	8.545615364
741	8.538793901
742	8.531705034
743	8.527804207
744	8.520786701
745	8.518407572
746	8.510575907
747	8.505953919
748	8.496511851
749	8.483038799
750	8.474552594
751	8.471096959
752	8.465047617
753	8.452976959
754	8.449281165
755	8.445060598
756	8.439242127
757	8.437482559
758	8.43300244
759	8.423241733
760	8.421521739
761	8.414835034
762	8.408479427
763	8.404580208
764	8.399684758
765	8.394444217
766	8.386846827
767	8.383702128
768	8.382550389
769	8.381688901
770	8.377388497
771	8.371676739
772	8.37119302
773	8.369875208
774	8.36600296
775	8.363936088
776	8.362636536
777	8.36091819
778	8.353092071
779	8.348216349
780	8.341741901
781	8.32797551
782	8.31587752
783	8.307411451
784	8.293670786
785	8.285575512
786	8.275685043
787	8.270233488
788	8.269205095
789	8.263455157
790	8.256040541
791	8.254753044
792	8.25213052
793	8.248828503
794	8.232437428
795	8.222042577
796	8.212580806
797	8.20957061
798	8.208289752
799	8.205662267
800	8.20399061
801	8.195187103
802	8.18981976
803	8.18290992
804	8.178181666
805	8.177779404
806	8.17069689
807	8.167073402
808	8.159921937
809	8.152896287
810	8.150099355
811	8.143101462
812	8.138516842
813	8.129808468
814	8.117871729
815	8.109605062
816	8.10907342
817	8.10409503
818	8.096500771
819	8.095480831
820	8.091358765
821	8.081492095
822	8.074292692
823	8.073572809
824	8.066194884
825	8.057906324
826	8.052801502
827	8.051874503
828	8.042677975
829	8.03492423
830	8.030056024
831	8.026659434
832	8.02063814
833	8.018912276
834	8.008554342
835	8.005351336
836	8.003869155
837	8.000702993
838	7.989502609
839	7.988304654
840	7.983681956
841	7.975575383
842	7.973785188
843	7.966238459
844	7.963964572
845	7.959759109
846	7.956576785
847	7.95291649
848	7.948551605
849	7.937353831
850	7.932277432
851	7.930966671
852	7.922798713
853	7.915320787
854	7.911759338
855	7.909031011
856	7.907783089
857	7.900332029
858	7.889369203
859	7.880516546
860	7.876613955
861	7.871328776
862	7.870127829
863	7.867832727
864	7.864991159
865	7.860345909
866	7.852707068
867	7.845682713
868	7.838414227
869	7.832933777
870	7.824932139
871	7.818317758
872	7.813873674
873	7.813033032
874	7.807468634
875	7.799637575
876	7.793459813
877	7.787653647
878	7.779829663
879	7.771353136
880	7.765341183
881	7.758701194
882	7.757419105
883	7.753986323
884	7.745914081
885	7.743954117
886	7.740318586
887	7.734921684
888	7.729947558
889	7.723794273
890	7.720340807
891	7.716691044
892	7.712070521
893	7.70619394
894	7.700823648
895	7.699272305
896	7.694342955
897	7.691987732
898	7.689161279
899	7.687199319
900	7.683308697
901	7.680543393
902	7.679180539
903	7.676335438
904	7.673714207
905	7.672429453
906	7.666646115
907	7.659660577
908	7.653212251
909	7.64854012
910	7.646398204
911	7.644083933
912	7.639601252
913	7.634169139
914	7.632157285
915	7.623997411
916	7.620527999
917	7.614873544
918	7.608829319
919	7.601380932
920	7.595022973
921	7.589225113
922	7.581123622
923	7.58000344
924	7.57376802
925	7.570386174
926	7.565419645
927	7.564024103
928	7.563197382
929	7.558825546
930	7.556191371
931	7.549598004
932	7.544757104
933	7.543121105
934	7.536460273
935	7.530244629
936	7.527163668
937	7.52318244
938	7.519182182
939	7.515841037
940	7.514682659
941	7.51335304
942	7.512506016
943	7.509243919
944	7.502290019
945	7.496618206
946	7.4958426
947	7.488520196
948	7.48019057
949	7.478753728
950	7.469773376
951	7.46319533
952	7.459934659
953	7.455202001
954	7.451090756
955	7.444060733
956	7.441399066
957	7.438177431
958	7.435345761
959	7.432297659
960	7.431793987
961	7.430919054
962	7.428232075
963	7.4253087
964	7.419825822
965	7.411976792
966	7.411267468
967	7.407144783
968	7.402706942
969	7.398768904
970	7.395747616
971	7.39430833
972	7.38950744
973	7.386514068
974	7.383002742
975	7.378459411
976	7.375666817
977	7.374600193
978	7.372271386
979	7.368711482
980	7.361533405
981	7.360448449
982	7.358156513
983	7.354120149
984	7.349493981
985	7.348239116
986	7.347816263
987	7.344413731
988	7.337536835
989	7.335759354
990	7.332072322
991	7.330162452
992	7.323764929
993	7.321614388
994	7.318510856
995	7.314056801
996	7.308769005
997	7.304416554
998	7.301390318
999	7.296844693
