iter	Passed	Remaining
404	9162	13461
405	9185	13438
406	9209	13417
407	9231	13394
408	9252	13369
409	9273	13345
410	9294	13320
411	9315	13294
412	9336	13270
413	9367	13259
414	9392	13240
415	9419	13223
416	9448	13210
417	9474	13191
418	9497	13169
419	9532	13163
420	9553	13139
421	9575	13114
422	9598	13092
423	9619	13068
424	9640	13042
425	9662	13019
426	9683	12994
427	9704	12969
428	9726	12945
429	9747	12921
430	9769	12897
431	9794	12877
432	9815	12853
433	9837	12829
434	9860	12807
435	9895	12800
436	9926	12788
437	9952	12770
438	9976	12748
439	10006	12735
440	10033	12718
441	10059	12700
442	10080	12675
443	10102	12650
444	10124	12626
445	10147	12605
446	10169	12581
447	10193	12559
448	10216	12537
449	10237	12512
450	10260	12489
451	10280	12464
452	10302	12439
453	10323	12415
454	10344	12391
455	10366	12367
456	10389	12345
457	10411	12321
458	10434	12298
459	10458	12277
460	10480	12254
461	10501	12229
462	10523	12205
463	10544	12181
464	10565	12156
465	10593	12139
466	10626	12127
467	10650	12106
468	10681	12093
469	10717	12085
470	10741	12063
471	10765	12043
472	10793	12025
473	10815	12001
474	10836	11976
475	10857	11952
476	10878	11927
477	10899	11903
478	10922	11879
479	10943	11855
480	10966	11832
481	10988	11809
482	11009	11784
483	11032	11761
484	11054	11738
485	11076	11714
486	11099	11691
487	11122	11669
488	11147	11648
489	11169	11625
490	11194	11604
491	11217	11582
492	11238	11557
493	11259	11533
494	11283	11511
495	11308	11490
496	11332	11469
497	11362	11453
498	11389	11434
499	11415	11415
500	11443	11397
501	11468	11376
502	11496	11359
503	11523	11340
504	11548	11320
505	11570	11295
506	11592	11272
507	11614	11248
508	11638	11226
509	11687	11229
510	11713	11209
511	11739	11189
512	11839	11239
513	11862	11216
514	11884	11192
515	11906	11168
516	11927	11143
517	11948	11118
518	11971	11094
519	11993	11070
520	12014	11046
521	12036	11021
522	12071	11010
523	12114	11004
524	12137	10981
525	12177	10973
526	12217	10965
527	12241	10943
528	12268	10923
529	12295	10903
530	12319	10880
531	12340	10856
532	12361	10831
533	12383	10806
534	12404	10781
535	12426	10756
536	12447	10732
537	12468	10707
538	12490	10683
539	12512	10658
540	12533	10633
541	12554	10608
542	12575	10583
543	12598	10560
544	12621	10537
545	12644	10513
546	12666	10489
547	12707	10481
548	12732	10459
549	12759	10439
550	12785	10418
551	12821	10405
552	12851	10388
