#Parameters = {C_p=3e-13; C_p_add=7e-14; L_s=7e-10; R_s=4.8}
#"Frequency / GHz"	"Total RCS [pw]_(C_p=1.08e-12) [Magnitude]"
#-------------------------------------------------------------
6.0000000000000	131.80053029764
6.0080160320641	132.55316161107
6.0160320641283	133.32722021895
6.0240480961924	134.19024178222
6.0320641282565	135.00969695043
6.0400801603206	135.81813977501
6.0480961923848	136.59522215624
6.0561122244489	137.39148340624
6.0641282565130	138.22845532507
6.0721442885772	139.06522042705
6.0801603206413	139.88766922988
6.0881763527054	140.62933223546
6.0961923847695	141.43930035471
6.1042084168337	142.30287577436
6.1122244488978	143.11415320706
6.1202404809619	143.89318754075
6.1282565130261	144.68485039592
6.1362725450902	145.45974458570
6.1442885771543	146.29834318196
6.1523046092184	147.12426409074
6.1603206412826	147.86396668357
6.1683366733467	148.60652577783
6.1763527054108	149.42337532885
6.1843687374749	150.19882095191
6.1923847695391	150.97804371882
6.2004008016032	151.70892823918
6.2084168336673	152.42795725367
6.2164328657315	153.16700372830
6.2244488977956	153.91962664771
6.2324649298597	154.66126988320
6.2404809619238	155.29985119486
6.2484969939880	155.96898453247
6.2565130260521	156.68297796586
6.2645290581162	157.34519803520
6.2725450901804	157.97313677244
6.2805611222445	158.58657078000
6.2885771543086	159.14039925537
6.2965931863727	159.74795143083
6.3046092184369	160.33799538441
6.3126252505010	160.85088766637
6.3206412825651	161.30615892498
6.3286573146293	161.75806904560
6.3366733466934	162.25567901690
6.3446893787575	162.64689217657
6.3527054108216	163.00505383387
6.3607214428858	163.32512574778
6.3687374749499	163.58924966227
6.3767535070140	163.85686349399
6.3847695390782	164.09934805563
6.3927855711423	164.20081517223
6.4008016032064	164.27498486902
6.4088176352705	164.34020780137
6.4168336673347	164.32863714269
6.4248496993988	164.26001038580
6.4328657314629	164.13423270706
6.4408817635271	163.87890562915
6.4488977955912	163.62449926183
6.4569138276553	163.32989965887
6.4649298597194	162.93878858267
6.4729458917836	162.45147005968
6.4809619238477	161.90439542791
6.4889779559118	161.37635600898
6.4969939879760	160.75490718338
6.5050100200401	160.13604837585
6.5130260521042	159.49899792273
6.5210420841683	158.85154780883
6.5290581162325	158.28901336870
6.5370741482966	157.88636450353
6.5450901803607	157.56224833906
6.5531062124248	157.50492803309
